expansion,type,id,name,url,source,meta
classic,item,38,Recruit's Shirt,https://www.wowhead.com/classic/item=38,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,45,Squire's Shirt,https://www.wowhead.com/classic/item=45,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,49,Footpad's Shirt,https://www.wowhead.com/classic/item=49,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,53,Neophyte's Shirt,https://www.wowhead.com/classic/item=53,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,127,Trapper's Shirt,https://www.wowhead.com/classic/item=127,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,148,Rugged Trapper's Shirt,https://www.wowhead.com/classic/item=148,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,154,Primitive Mantle,https://www.wowhead.com/classic/item=154,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,730,Murloc Eye,https://www.wowhead.com/classic/item=730,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,769,Chunk of Boar Meat,https://www.wowhead.com/classic/item=769,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,774,Malachite,https://www.wowhead.com/classic/item=774,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,783,Light Hide,https://www.wowhead.com/classic/item=783,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,785,Mageroyal,https://www.wowhead.com/classic/item=785,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,814,Flask of Oil,https://www.wowhead.com/classic/item=814,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,818,Tigerseye,https://www.wowhead.com/classic/item=818,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,859,Fine Cloth Shirt,https://www.wowhead.com/classic/item=859,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,870,Fiery War Axe,https://www.wowhead.com/classic/item=870,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,871,Flurry Axe,https://www.wowhead.com/classic/item=871,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,873,Staff of Jordan,https://www.wowhead.com/classic/item=873,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,929,Healing Potion,https://www.wowhead.com/classic/item=929,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,942,Freezing Band,https://www.wowhead.com/classic/item=942,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,943,Warden Staff,https://www.wowhead.com/classic/item=943,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,1015,Lean Wolf Flank,https://www.wowhead.com/classic/item=1015,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,1076,Defias Renegade Ring,https://www.wowhead.com/classic/item=1076,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,1081,Crisp Spider Meat,https://www.wowhead.com/classic/item=1081,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,1156,Lavishly Jeweled Ring,https://www.wowhead.com/classic/item=1156,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,1168,Skullflame Shield,https://www.wowhead.com/classic/item=1168,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,1204,The Green Tower,https://www.wowhead.com/classic/item=1204,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,1206,Moss Agate,https://www.wowhead.com/classic/item=1206,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,1210,Shadowgem,https://www.wowhead.com/classic/item=1210,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,1262,Keg of Thunderbrew,https://www.wowhead.com/classic/item=1262,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,1274,Hops,https://www.wowhead.com/classic/item=1274,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,1288,Large Venom Sac,https://www.wowhead.com/classic/item=1288,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
classic,item,1319,Ring of Iron Will,https://www.wowhead.com/classic/item=1319,wowhead-listview,"{""listview_source"": ""g_listviews.itemsgallery"", ""page"": ""https://www.wowhead.com/classic/items""}"
