expansion,type,id,name,url,source,meta
classic,npc,66,Tharynn Bouden,https://www.wowhead.com/classic/npc=66,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,92,Rock Elemental,https://www.wowhead.com/classic/npc=92,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,100,Gruff Swiftbite,https://www.wowhead.com/classic/npc=100,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,118,Prowler,https://www.wowhead.com/classic/npc=118,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,126,Murloc Coastrunner,https://www.wowhead.com/classic/npc=126,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,154,Greater Fleshripper,https://www.wowhead.com/classic/npc=154,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,202,Skeletal Horror,https://www.wowhead.com/classic/npc=202,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,206,Nightbane Vile Fang,https://www.wowhead.com/classic/npc=206,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,232,Farmer Ray,https://www.wowhead.com/classic/npc=232,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,234,Gryan Stoutmantle,https://www.wowhead.com/classic/npc=234,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,239,Grimbooze Thunderbrew,https://www.wowhead.com/classic/npc=239,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,285,Murloc,https://www.wowhead.com/classic/npc=285,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,311,Sven Yorgen,https://www.wowhead.com/classic/npc=311,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,313,Theocritus,https://www.wowhead.com/classic/npc=313,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,314,Eliza,https://www.wowhead.com/classic/npc=314,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,315,Stalvan Mistmantle,https://www.wowhead.com/classic/npc=315,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,330,Princess,https://www.wowhead.com/classic/npc=330,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,332,Master Mathias Shaw,https://www.wowhead.com/classic/npc=332,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,334,Gath'Ilzogg,https://www.wowhead.com/classic/npc=334,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,340,Kendor Kabonka,https://www.wowhead.com/classic/npc=340,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,344,Magistrate Solomon,https://www.wowhead.com/classic/npc=344,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,345,Bellygrub,https://www.wowhead.com/classic/npc=345,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,384,Katie Hunter,https://www.wowhead.com/classic/npc=384,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,391,Old Murk-Eye,https://www.wowhead.com/classic/npc=391,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,412,Stitches,https://www.wowhead.com/classic/npc=412,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,448,Hogger,https://www.wowhead.com/classic/npc=448,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,454,Young Goretusk,https://www.wowhead.com/classic/npc=454,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,462,Vultros,https://www.wowhead.com/classic/npc=462,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,466,General Marcus Jonathan,https://www.wowhead.com/classic/npc=466,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,467,The Defias Traitor,https://www.wowhead.com/classic/npc=467,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,472,Fedfennel,https://www.wowhead.com/classic/npc=472,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,482,Elling Trias,https://www.wowhead.com/classic/npc=482,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,507,Fenros,https://www.wowhead.com/classic/npc=507,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,518,Yowler,https://www.wowhead.com/classic/npc=518,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,519,Slark,https://www.wowhead.com/classic/npc=519,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
classic,npc,520,Brack,https://www.wowhead.com/classic/npc=520,wowhead-listview,"{""listview_source"": ""g_listviews.npcs"", ""page"": ""https://www.wowhead.com/classic/npcs""}"
