expansion,type,id,name,url,source,meta
classic,quest,1,"The ""Chow"" Quest (123)aa",https://www.wowhead.com/classic/quest=1/the-chow-quest-123-aa,wowhead-id-scan,{}
classic,quest,2,Sharptalon's Claw,https://www.wowhead.com/classic/quest=2/sharptalons-claw,wowhead-id-scan,{}
classic,quest,5,Jitters' Growling Gut,https://www.wowhead.com/classic/quest=5/jitters-growling-gut,wowhead-id-scan,{}
classic,quest,6,Bounty on Garrick Padfoot,https://www.wowhead.com/classic/quest=6/bounty-on-garrick-padfoot,wowhead-id-scan,{}
classic,quest,7,Kobold Camp Cleanup,https://www.wowhead.com/classic/quest=7/kobold-camp-cleanup,wowhead-id-scan,{}
classic,quest,8,A Rogue's Deal,https://www.wowhead.com/classic/quest=8/a-rogues-deal,wowhead-id-scan,{}
classic,quest,9,The Killing Fields,https://www.wowhead.com/classic/quest=9/the-killing-fields,wowhead-id-scan,{}
classic,quest,10,The Scrimshank Redemption,https://www.wowhead.com/classic/quest=10/the-scrimshank-redemption,wowhead-id-scan,{}
classic,quest,11,Riverpaw Gnoll Bounty,https://www.wowhead.com/classic/quest=11/riverpaw-gnoll-bounty,wowhead-id-scan,{}
classic,quest,12,The People's Militia,https://www.wowhead.com/classic/quest=12/the-peoples-militia,wowhead-id-scan,{}
classic,quest,13,The People's Militia,https://www.wowhead.com/classic/quest=13/the-peoples-militia,wowhead-id-scan,{}
classic,quest,14,The People's Militia,https://www.wowhead.com/classic/quest=14/the-peoples-militia,wowhead-id-scan,{}
classic,quest,15,Investigate Echo Ridge,https://www.wowhead.com/classic/quest=15/investigate-echo-ridge,wowhead-id-scan,{}
classic,quest,16,Give Gerard a Drink,https://www.wowhead.com/classic/quest=16/give-gerard-a-drink,wowhead-id-scan,{}
classic,quest,17,Uldaman Reagent Run,https://www.wowhead.com/classic/quest=17/uldaman-reagent-run,wowhead-id-scan,{}
classic,quest,18,Brotherhood of Thieves,https://www.wowhead.com/classic/quest=18/brotherhood-of-thieves,wowhead-id-scan,{}
classic,quest,19,Tharil'zun,https://www.wowhead.com/classic/quest=19/tharilzun,wowhead-id-scan,{}
classic,quest,20,Blackrock Menace,https://www.wowhead.com/classic/quest=20/blackrock-menace,wowhead-id-scan,{}
classic,quest,21,Skirmish at Echo Ridge,https://www.wowhead.com/classic/quest=21/skirmish-at-echo-ridge,wowhead-id-scan,{}
classic,quest,22,Goretusk Liver Pie,https://www.wowhead.com/classic/quest=22/goretusk-liver-pie,wowhead-id-scan,{}
classic,quest,23,Ursangous's Paw,https://www.wowhead.com/classic/quest=23/ursangouss-paw,wowhead-id-scan,{}
classic,quest,24,Shadumbra's Head,https://www.wowhead.com/classic/quest=24/shadumbras-head,wowhead-id-scan,{}
classic,quest,25,Stonetalon Standstill,https://www.wowhead.com/classic/quest=25/stonetalon-standstill,wowhead-id-scan,{}
classic,quest,26,A Lesson to Learn,https://www.wowhead.com/classic/quest=26/a-lesson-to-learn,wowhead-id-scan,{}
classic,quest,27,A Lesson to Learn,https://www.wowhead.com/classic/quest=27/a-lesson-to-learn,wowhead-id-scan,{}
classic,quest,28,Trial of the Lake,https://www.wowhead.com/classic/quest=28/trial-of-the-lake,wowhead-id-scan,{}
classic,quest,29,Trial of the Lake,https://www.wowhead.com/classic/quest=29/trial-of-the-lake,wowhead-id-scan,{}
classic,quest,30,Trial of the Sea Lion,https://www.wowhead.com/classic/quest=30/trial-of-the-sea-lion,wowhead-id-scan,{}
classic,quest,31,Aquatic Form,https://www.wowhead.com/classic/quest=31/aquatic-form,wowhead-id-scan,{}
classic,quest,32,Rise of the Silithid,https://www.wowhead.com/classic/quest=32/rise-of-the-silithid,wowhead-id-scan,{}
classic,quest,33,Wolves Across the Border,https://www.wowhead.com/classic/quest=33/wolves-across-the-border,wowhead-id-scan,{}
classic,quest,34,An Unwelcome Guest,https://www.wowhead.com/classic/quest=34/an-unwelcome-guest,wowhead-id-scan,{}
classic,quest,35,Further Concerns,https://www.wowhead.com/classic/quest=35/further-concerns,wowhead-id-scan,{}
classic,quest,36,Westfall Stew,https://www.wowhead.com/classic/quest=36/westfall-stew,wowhead-id-scan,{}
classic,quest,37,Find the Lost Guards,https://www.wowhead.com/classic/quest=37/find-the-lost-guards,wowhead-id-scan,{}
classic,quest,38,Westfall Stew,https://www.wowhead.com/classic/quest=38/westfall-stew,wowhead-id-scan,{}
classic,quest,39,Deliver Thomas' Report,https://www.wowhead.com/classic/quest=39/deliver-thomas-report,wowhead-id-scan,{}
classic,quest,40,A Fishy Peril,https://www.wowhead.com/classic/quest=40/a-fishy-peril,wowhead-id-scan,{}
classic,quest,45,Discover Rolf's Fate,https://www.wowhead.com/classic/quest=45/discover-rolfs-fate,wowhead-id-scan,{}
classic,quest,46,Bounty on Murlocs,https://www.wowhead.com/classic/quest=46/bounty-on-murlocs,wowhead-id-scan,{}
classic,quest,47,Gold Dust Exchange,https://www.wowhead.com/classic/quest=47/gold-dust-exchange,wowhead-id-scan,{}
classic,quest,48,Sweet Amber,https://www.wowhead.com/classic/quest=48/sweet-amber,wowhead-id-scan,{}
classic,quest,49,Sweet Amber,https://www.wowhead.com/classic/quest=49/sweet-amber,wowhead-id-scan,{}
classic,quest,50,Sweet Amber,https://www.wowhead.com/classic/quest=50/sweet-amber,wowhead-id-scan,{}
classic,quest,51,Sweet Amber,https://www.wowhead.com/classic/quest=51/sweet-amber,wowhead-id-scan,{}
classic,quest,52,Protect the Frontier,https://www.wowhead.com/classic/quest=52/protect-the-frontier,wowhead-id-scan,{}
classic,quest,53,Sweet Amber,https://www.wowhead.com/classic/quest=53/sweet-amber,wowhead-id-scan,{}
classic,quest,54,Report to Goldshire,https://www.wowhead.com/classic/quest=54/report-to-goldshire,wowhead-id-scan,{}
classic,quest,55,Morbent Fel,https://www.wowhead.com/classic/quest=55/morbent-fel,wowhead-id-scan,{}
classic,quest,56,The Night Watch,https://www.wowhead.com/classic/quest=56/the-night-watch,wowhead-id-scan,{}
classic,quest,57,The Night Watch,https://www.wowhead.com/classic/quest=57/the-night-watch,wowhead-id-scan,{}
classic,quest,58,The Night Watch,https://www.wowhead.com/classic/quest=58/the-night-watch,wowhead-id-scan,{}
classic,quest,59,Cloth and Leather Armor,https://www.wowhead.com/classic/quest=59/cloth-and-leather-armor,wowhead-id-scan,{}
classic,quest,60,Kobold Candles,https://www.wowhead.com/classic/quest=60/kobold-candles,wowhead-id-scan,{}
classic,quest,61,Shipment to Stormwind,https://www.wowhead.com/classic/quest=61/shipment-to-stormwind,wowhead-id-scan,{}
classic,quest,62,The Fargodeep Mine,https://www.wowhead.com/classic/quest=62/the-fargodeep-mine,wowhead-id-scan,{}
classic,quest,63,Call of Water,https://www.wowhead.com/classic/quest=63/call-of-water,wowhead-id-scan,{}
classic,quest,64,The Forgotten Heirloom,https://www.wowhead.com/classic/quest=64/the-forgotten-heirloom,wowhead-id-scan,{}
classic,quest,65,The Defias Brotherhood,https://www.wowhead.com/classic/quest=65/the-defias-brotherhood,wowhead-id-scan,{}
classic,quest,66,The Legend of Stalvan,https://www.wowhead.com/classic/quest=66/the-legend-of-stalvan,wowhead-id-scan,{}
classic,quest,67,The Legend of Stalvan,https://www.wowhead.com/classic/quest=67/the-legend-of-stalvan,wowhead-id-scan,{}
classic,quest,68,The Legend of Stalvan,https://www.wowhead.com/classic/quest=68/the-legend-of-stalvan,wowhead-id-scan,{}
classic,quest,69,The Legend of Stalvan,https://www.wowhead.com/classic/quest=69/the-legend-of-stalvan,wowhead-id-scan,{}
classic,quest,70,The Legend of Stalvan,https://www.wowhead.com/classic/quest=70/the-legend-of-stalvan,wowhead-id-scan,{}
classic,quest,71,Report to Thomas,https://www.wowhead.com/classic/quest=71/report-to-thomas,wowhead-id-scan,{}
classic,quest,72,The Legend of Stalvan,https://www.wowhead.com/classic/quest=72/the-legend-of-stalvan,wowhead-id-scan,{}
classic,quest,73,<TXT> No Reward,https://www.wowhead.com/classic/quest=73/txt-no-reward,wowhead-id-scan,{}
classic,quest,74,The Legend of Stalvan,https://www.wowhead.com/classic/quest=74/the-legend-of-stalvan,wowhead-id-scan,{}
classic,quest,75,The Legend of Stalvan,https://www.wowhead.com/classic/quest=75/the-legend-of-stalvan,wowhead-id-scan,{}
classic,quest,76,The Jasperlode Mine,https://www.wowhead.com/classic/quest=76/the-jasperlode-mine,wowhead-id-scan,{}
classic,quest,77,A Sticky Situation,https://www.wowhead.com/classic/quest=77/a-sticky-situation,wowhead-id-scan,{}
classic,quest,78,The Legend of Stalvan,https://www.wowhead.com/classic/quest=78/the-legend-of-stalvan,wowhead-id-scan,{}
classic,quest,79,The Legend of Stalvan,https://www.wowhead.com/classic/quest=79/the-legend-of-stalvan,wowhead-id-scan,{}
classic,quest,80,The Legend of Stalvan,https://www.wowhead.com/classic/quest=80/the-legend-of-stalvan,wowhead-id-scan,{}
classic,quest,81,Ripple Delivery,https://www.wowhead.com/classic/quest=81/ripple-delivery,wowhead-id-scan,{}
classic,quest,82,Noxious Lair Investigation,https://www.wowhead.com/classic/quest=82/noxious-lair-investigation,wowhead-id-scan,{}
classic,quest,83,Red Linen Goods,https://www.wowhead.com/classic/quest=83/red-linen-goods,wowhead-id-scan,{}
classic,quest,84,Back to Billy,https://www.wowhead.com/classic/quest=84/back-to-billy,wowhead-id-scan,{}
classic,quest,85,Lost Necklace,https://www.wowhead.com/classic/quest=85/lost-necklace,wowhead-id-scan,{}
classic,quest,86,Pie for Billy,https://www.wowhead.com/classic/quest=86/pie-for-billy,wowhead-id-scan,{}
classic,quest,87,Goldtooth,https://www.wowhead.com/classic/quest=87/goldtooth,wowhead-id-scan,{}
classic,quest,88,Princess Must Die!,https://www.wowhead.com/classic/quest=88/princess-must-die,wowhead-id-scan,{}
classic,quest,89,The Everstill Bridge,https://www.wowhead.com/classic/quest=89/the-everstill-bridge,wowhead-id-scan,{}
classic,quest,90,Seasoned Wolf Kabobs,https://www.wowhead.com/classic/quest=90/seasoned-wolf-kabobs,wowhead-id-scan,{}
classic,quest,91,Solomon's Law,https://www.wowhead.com/classic/quest=91/solomons-law,wowhead-id-scan,{}
classic,quest,92,Redridge Goulash,https://www.wowhead.com/classic/quest=92/redridge-goulash,wowhead-id-scan,{}
classic,quest,93,Dusky Crab Cakes,https://www.wowhead.com/classic/quest=93/dusky-crab-cakes,wowhead-id-scan,{}
classic,quest,94,A Watchful Eye,https://www.wowhead.com/classic/quest=94/a-watchful-eye,wowhead-id-scan,{}
classic,quest,95,Sven's Revenge,https://www.wowhead.com/classic/quest=95/svens-revenge,wowhead-id-scan,{}
classic,quest,96,Call of Water,https://www.wowhead.com/classic/quest=96/call-of-water,wowhead-id-scan,{}
classic,quest,97,The Legend of Stalvan,https://www.wowhead.com/classic/quest=97/the-legend-of-stalvan,wowhead-id-scan,{}
classic,quest,98,The Legend of Stalvan,https://www.wowhead.com/classic/quest=98/the-legend-of-stalvan,wowhead-id-scan,{}
classic,quest,99,Arugal's Folly,https://www.wowhead.com/classic/quest=99/arugals-folly,wowhead-id-scan,{}
classic,quest,100,Call of Water,https://www.wowhead.com/classic/quest=100/call-of-water,wowhead-id-scan,{}
classic,quest,101,The Totem of Infliction,https://www.wowhead.com/classic/quest=101/the-totem-of-infliction,wowhead-id-scan,{}
classic,quest,102,Patrolling Westfall,https://www.wowhead.com/classic/quest=102/patrolling-westfall,wowhead-id-scan,{}
classic,quest,103,Keeper of the Flame,https://www.wowhead.com/classic/quest=103/keeper-of-the-flame,wowhead-id-scan,{}
classic,quest,104,The Coastal Menace,https://www.wowhead.com/classic/quest=104/the-coastal-menace,wowhead-id-scan,{}
classic,quest,105,"Alas, Andorhal",https://www.wowhead.com/classic/quest=105/alas-andorhal,wowhead-id-scan,{}
classic,quest,106,Young Lovers,https://www.wowhead.com/classic/quest=106/young-lovers,wowhead-id-scan,{}
classic,quest,107,Note to William,https://www.wowhead.com/classic/quest=107/note-to-william,wowhead-id-scan,{}
classic,quest,108,<TXT> Mystery Reward,https://www.wowhead.com/classic/quest=108/txt-mystery-reward,wowhead-id-scan,{}
classic,quest,109,Report to Gryan Stoutmantle,https://www.wowhead.com/classic/quest=109/report-to-gryan-stoutmantle,wowhead-id-scan,{}
classic,quest,110,Insect Part Analysis,https://www.wowhead.com/classic/quest=110/insect-part-analysis,wowhead-id-scan,{}
classic,quest,111,Speak with Gramma,https://www.wowhead.com/classic/quest=111/speak-with-gramma,wowhead-id-scan,{}
classic,quest,112,Collecting Kelp,https://www.wowhead.com/classic/quest=112/collecting-kelp,wowhead-id-scan,{}
classic,quest,113,Insect Part Analysis,https://www.wowhead.com/classic/quest=113/insect-part-analysis,wowhead-id-scan,{}
classic,quest,114,The Escape,https://www.wowhead.com/classic/quest=114/the-escape,wowhead-id-scan,{}
classic,quest,115,Shadow Magic,https://www.wowhead.com/classic/quest=115/shadow-magic,wowhead-id-scan,{}
classic,quest,116,Dry Times,https://www.wowhead.com/classic/quest=116/dry-times,wowhead-id-scan,{}
classic,quest,117,Thunderbrew,https://www.wowhead.com/classic/quest=117/thunderbrew,wowhead-id-scan,{}
classic,quest,118,The Price of Shoes,https://www.wowhead.com/classic/quest=118/the-price-of-shoes,wowhead-id-scan,{}
classic,quest,119,Return to Verner,https://www.wowhead.com/classic/quest=119/return-to-verner,wowhead-id-scan,{}
classic,quest,120,Messenger to Stormwind,https://www.wowhead.com/classic/quest=120/messenger-to-stormwind,wowhead-id-scan,{}
